
Récapitulatif de mes puissances atteintes en W

Date et heure de relève par le distributeur;Puissance atteinte (W);Nature de la donnée

01/01/2024;;
00:00:00;54;Réelle
23:30:00;54;Réelle
23:00:00;52;Réelle
22:30:00;40;Réelle
22:00:00;46;Réelle
21:30:00;44;Réelle
21:00:00;44;Réelle
20:30:00;46;Réelle
20:00:00;40;Réelle
19:30:00;52;Réelle
19:00:00;36;Réelle
18:30:00;54;Réelle
18:00:00;36;Réelle
17:30:00;56;Réelle
17:00:00;34;Réelle
16:30:00;54;Réelle
16:00:00;38;Réelle
15:30:00;48;Réelle
15:00:00;42;Réelle
14:30:00;44;Réelle
14:00:00;48;Réelle
13:30:00;38;Réelle
13:00:00;52;Réelle
12:30:00;36;Réelle
12:00:00;56;Réelle
11:30:00;36;Réelle
11:00:00;52;Réelle
10:30:00;38;Réelle
10:00:00;48;Réelle
09:30:00;42;Réelle
09:00:00;44;Réelle
08:30:00;48;Réelle
08:00:00;36;Réelle
07:30:00;54;Réelle
07:00:00;36;Réelle
06:30:00;56;Réelle
06:00:00;34;Réelle
05:30:00;50;Réelle
05:00:00;42;Réelle
04:30:00;46;Réelle
04:00:00;44;Réelle
03:30:00;40;Réelle
03:00:00;52;Réelle
02:30:00;36;Réelle
02:00:00;56;Réelle
01:30:00;36;Réelle
01:00:00;56;Réelle
00:30:00;36;Réelle

31/12/2023;;
00:00:00;50;Réelle
23:30:00;40;Réelle
23:00:00;46;Réelle
22:30:00;46;Réelle
22:00:00;42;Réelle
21:30:00;50;Réelle
21:00:00;38;Réelle
20:30:00;54;Réelle
20:00:00;36;Réelle
19:30:00;56;Réelle
19:00:00;36;Réelle
18:30:00;54;Réelle
18:00:00;38;Réelle
17:30:00;50;Réelle
17:00:00;42;Réelle
16:30:00;48;Réelle
16:00:00;46;Réelle
15:30:00;40;Réelle
15:00:00;52;Réelle
14:30:00;46;Réelle
14:00:00;48;Réelle
13:30:00;44;Réelle
13:00:00;52;Réelle
12:30:00;48;Réelle
12:00:00;52;Réelle
11:30:00;76;Réelle
11:00:00;156;Réelle
10:30:00;124;Réelle
10:00:00;60;Réelle
09:30:00;54;Réelle
09:00:00;58;Réelle
08:30:00;38;Réelle
08:00:00;56;Réelle
07:30:00;38;Réelle
07:00:00;56;Réelle
06:30:00;38;Réelle
06:00:00;56;Réelle
05:30:00;38;Réelle
05:00:00;56;Réelle
04:30:00;38;Réelle
04:00:00;58;Réelle
03:30:00;36;Réelle
03:00:00;58;Réelle
02:30:00;36;Réelle
02:00:00;58;Réelle
01:30:00;38;Réelle
01:00:00;56;Réelle
00:30:00;38;Réelle

29/12/2023;;
00:00:00;44;Réelle
23:30:00;44;Réelle
23:00:00;74;Réelle
22:30:00;76;Réelle
22:00:00;186;Réelle
21:30:00;64;Réelle
21:00:00;56;Réelle
20:30:00;58;Réelle
20:00:00;58;Réelle
19:30:00;38;Réelle
19:00:00;58;Réelle
18:30:00;38;Réelle
18:00:00;58;Réelle
17:30:00;40;Réelle
17:00:00;56;Réelle
16:30:00;40;Réelle
16:00:00;58;Réelle
15:30:00;46;Réelle
15:00:00;50;Réelle
14:30:00;70;Réelle
14:00:00;44;Réelle
13:30:00;70;Réelle
13:00:00;52;Réelle
12:30:00;68;Réelle
12:00:00;46;Réelle
11:30:00;64;Réelle
11:00:00;48;Réelle
10:30:00;52;Réelle
10:00:00;58;Réelle
09:30:00;50;Réelle
09:00:00;52;Réelle
08:30:00;80;Réelle
08:00:00;44;Réelle
07:30:00;46;Réelle
07:00:00;76;Réelle
06:30:00;94;Réelle
06:00:00;166;Réelle
05:30:00;72;Réelle
05:00:00;68;Réelle
04:30:00;70;Réelle
04:00:00;56;Réelle
03:30:00;80;Réelle
03:00:00;56;Réelle
02:30:00;72;Réelle
02:00:00;68;Réelle
01:30:00;58;Réelle
01:00:00;78;Réelle
00:30:00;60;Réelle

28/12/2023;;
00:00:00;72;Réelle
23:30:00;70;Réelle
23:00:00;84;Réelle
22:30:00;138;Réelle
22:00:00;64;Réelle
21:30:00;80;Réelle
21:00:00;66;Réelle
20:30:00;80;Réelle
20:00:00;84;Réelle
19:30:00;64;Réelle
19:00:00;84;Réelle
18:30:00;66;Réelle
18:00:00;82;Réelle
17:30:00;106;Réelle
17:00:00;110;Réelle
16:30:00;126;Réelle
16:00:00;152;Réelle
15:30:00;84;Réelle
15:00:00;62;Réelle
14:30:00;78;Réelle
14:00:00;78;Réelle
13:30:00;374;Réelle
13:00:00;692;Réelle
12:30:00;54;Réelle
12:00:00;74;Réelle
11:30:00;58;Réelle
11:00:00;66;Réelle
10:30:00;52;Réelle
10:00:00;70;Réelle
09:30:00;66;Réelle
09:00:00;52;Réelle
08:30:00;42;Réelle
08:00:00;48;Réelle
07:30:00;46;Réelle
07:00:00;46;Réelle
06:30:00;48;Réelle
06:00:00;46;Réelle
05:30:00;50;Réelle
05:00:00;42;Réelle
04:30:00;52;Réelle
04:00:00;44;Réelle
03:30:00;48;Réelle
03:00:00;60;Réelle
02:30:00;40;Réelle
02:00:00;76;Réelle
01:30:00;94;Réelle
01:00:00;150;Réelle
00:30:00;70;Réelle

27/12/2023;;
00:00:00;68;Réelle
23:30:00;88;Réelle
23:00:00;60;Réelle
22:30:00;86;Réelle
22:00:00;292;Réelle
21:30:00;114;Réelle
21:00:00;734;Réelle
20:30:00;1838;Réelle
20:00:00;1526;Réelle
19:30:00;1056;Réelle
19:00:00;88;Réelle
18:30:00;94;Réelle
18:00:00;44;Réelle
17:30:00;286;Réelle
17:00:00;44;Réelle
16:30:00;54;Réelle
16:00:00;54;Réelle
15:30:00;48;Réelle
15:00:00;76;Réelle
14:30:00;172;Réelle
14:00:00;88;Réelle
13:30:00;110;Réelle
13:00:00;300;Réelle
12:30:00;118;Réelle
12:00:00;140;Réelle
11:30:00;120;Réelle
11:00:00;64;Réelle
10:30:00;92;Réelle
10:00:00;62;Réelle
09:30:00;72;Réelle
09:00:00;52;Réelle
08:30:00;36;Réelle
08:00:00;56;Réelle
07:30:00;34;Réelle
07:00:00;56;Réelle
06:30:00;52;Réelle
06:00:00;44;Réelle
05:30:00;60;Réelle
05:00:00;46;Réelle
